#{"t_start": 1575078134.882022, "env_id": null}
r,l,t
718,1999,1.325842
688,1999,2.321031
705,1999,3.06367
706,1999,3.805498
703,1999,4.550181
726,1999,5.327321
750,1999,6.158844
728,1999,6.957961
707,1999,7.703437
724,1999,8.450906
697,1999,9.196907
707,1999,9.994515
715,1999,10.838986
722,1999,11.586417
696,1999,12.330955
737,1999,13.081944
685,1999,13.837029
712,1999,14.715399
712,1999,15.467369
713,1999,16.219163
728,1999,16.980317
724,1999,17.729348
742,1999,18.615497
715,1999,19.362973
699,1999,20.115941
704,1999,20.869629
672,1999,21.617392
735,1999,22.517621
724,1999,23.272391
697,1999,24.024066
732,1999,24.780852
732,1999,25.539185
706,1999,26.435605
710,1999,27.187435
724,1999,27.945083
734,1999,28.699685
684,1999,29.456419
714,1999,30.346413
672,1999,31.097202
728,1999,31.84254
723,1999,32.600505
700,1999,33.279624
682,1999,34.153811
710,1999,34.933089
723,1999,35.701326
704,1999,36.452438
704,1999,37.205242
681,1999,37.963692
712,1999,38.723303
727,1999,39.479982
729,1999,40.234261
710,1999,40.986241
713,1999,41.741793
709,1999,42.491924
704,1999,43.242453
699,1999,43.994418
694,1999,44.749296
734,1999,45.502068
697,1999,46.252226
693,1999,47.00574
664,1999,47.757963
686,1999,48.517849
688,1999,49.26499
714,1999,50.016982
709,1999,50.768016
735,1999,51.52366
689,1999,52.282164
677,1999,53.034015
736,1999,53.784227
708,1999,54.534638
695,1999,55.284149
719,1999,56.056926
693,1999,56.819355
701,1999,57.680661
696,1999,58.430643
711,1999,59.182891
736,1999,59.9416
695,1999,60.693606
695,1999,61.441658
701,1999,62.192169
733,1999,63.071208
720,1999,63.863394
733,1999,64.614615
730,1999,65.295636
747,1999,66.04438
693,1999,66.796538
732,1999,67.549489
706,1999,68.305407
694,1999,69.096809
690,1999,69.962595
723,1999,70.763381
722,1999,71.51542
723,1999,72.274587
684,1999,73.032396
701,1999,73.783264
721,1999,74.539452
682,1999,75.293407
663,1999,76.046556
750,1999,76.80562
703,1999,77.560403
692,1999,78.314001
680,1999,79.066965
723,1999,79.829688
743,1999,80.586873
722,1999,81.340311
723,1999,82.096808
728,1999,82.847522
711,1999,83.613899
728,1999,84.369279
729,1999,85.127888
697,1999,85.886159
688,1999,86.634032
659,1999,87.391079
685,1999,88.142273
724,1999,88.888798
693,1999,89.793597
725,1999,90.566788
713,1999,91.324147
721,1999,92.077215
703,1999,92.825427
736,1999,93.589804
730,1999,94.342823
702,1999,95.102367
754,1999,95.860172
693,1999,96.614024
732,1999,97.433531
693,1999,98.189854
713,1999,98.93971
699,1999,99.69768
692,1999,100.45427
717,1999,101.206072
712,1999,101.958181
692,1999,102.709892
707,1999,103.470973
668,1999,104.220322
727,1999,104.971747
734,1999,105.728048
715,1999,106.476678
726,1999,107.232718
692,1999,107.983847
744,1999,108.730894
684,1999,109.483588
718,1999,110.238156
700,1999,111.000773
736,1999,111.752721
687,1999,112.504475
720,1999,113.256699
693,1999,114.003013
705,1999,114.764222
739,1999,115.514471
698,1999,116.265278
693,1999,117.02084
720,1999,117.771137
723,1999,118.527117
709,1999,119.278002
691,1999,120.028554
746,1999,120.779184
756,1999,121.533172
702,1999,122.292912
722,1999,123.04489
744,1999,123.791668
700,1999,124.541686
720,1999,125.305885
734,1999,126.060573
727,1999,126.808095
746,1999,127.557933
723,1999,128.302475
744,1999,128.971634
732,1999,129.721072
723,1999,130.486487
718,1999,131.236069
716,1999,131.986358
738,1999,132.74003
745,1999,133.519019
697,1999,134.290907
740,1999,135.043125
745,1999,135.79557
724,1999,136.555301
741,1999,137.303099
722,1999,138.062018
703,1999,138.811645
707,1999,139.566018
758,1999,140.31567
726,1999,141.070268
752,1999,141.833794
736,1999,142.585146
731,1999,143.339468
744,1999,144.105359
716,1999,144.863056
756,1999,145.626524
754,1999,146.383345
702,1999,147.135774
718,1999,147.887675
741,1999,148.635802
707,1999,149.396042
