approxkl,time_elapsed,serial_timesteps,ep_reward_mean,explained_variance,total_timesteps,fps,policy_loss,policy_entropy,value_loss,clipfrac,n_updates,ep_len_mean
2.3958348e-06,29.70042610168457,77824,713.8684210526316,0.1342903971672058,77824,2630,-4.3651624e-05,2.9948153,7.7333765,0.0,38,1999.0
1.2791813e-06,30.479538917541504,79872,712.7948717948718,0.18365085124969482,79872,2684,-0.00011862335,2.9947975,8.43141,0.0,39,1999.0
2.1303015e-06,31.242836952209473,81920,713.175,0.20497649908065796,81920,2669,-0.00022318424,2.9947717,8.532456,0.0,40,1999.0
2.3854575e-06,32.01557517051697,83968,713.0952380952381,0.23613101243972778,83968,2619,-5.033137e-05,2.9947703,7.598394,0.0,41,1999.0
1.2769779e-06,32.79765295982361,86016,712.3720930232558,0.19118881225585938,86016,2258,-0.00013049897,2.9947963,7.034354,0.0,42,1999.0
8.7620646e-07,33.70508289337158,88064,712.3181818181819,0.2106626033782959,88064,2641,-8.277143e-05,2.9948058,7.6319795,0.0,43,1999.0
1.7834049e-06,34.48091912269592,90112,712.5555555555555,0.22597438097000122,90112,2615,-1.3693888e-05,2.9947758,7.6377244,0.0,44,1999.0
7.861985e-07,35.2643940448761,92160,712.3695652173913,0.22635924816131592,92160,2673,-0.00010635876,2.9947515,7.2484117,0.0,45,1999.0
4.2195334e-06,36.03621506690979,94208,712.1914893617021,0.25214266777038574,94208,2656,4.43622e-05,2.994741,7.363599,0.0,46,1999.0
6.8027714e-07,36.80746293067932,96256,711.5416666666666,0.21388965845108032,96256,2640,-4.938984e-05,2.9947493,6.1318293,0.0,47,1999.0
1.5313271e-06,37.58360290527344,98304,711.5510204081633,0.22161495685577393,98304,2644,-6.193586e-05,2.9947636,6.738164,0.0,48,1999.0
6.577222e-07,38.35833716392517,100352,711.86,0.2565270662307739,100352,2660,-7.688543e-05,2.994741,7.5459566,0.0,49,1999.0
1.1946437e-06,39.12851619720459,102400,712.1960784313726,0.24301505088806152,102400,2684,-5.711885e-05,2.9947035,6.8984895,0.0,50,1999.0
5.8977014e-07,39.89704608917236,104448,712.1538461538462,0.27844709157943726,104448,2661,-6.655456e-05,2.9946823,6.754692,0.0,51,1999.0
1.2031142e-06,40.66703796386719,106496,712.1698113207547,0.2662067413330078,106496,2667,-3.89223e-06,2.9946694,6.6885314,0.0,52,1999.0
4.912307e-07,41.4351270198822,108544,712.1111111111111,0.2825012803077698,108544,2660,-9.018134e-05,2.9946678,5.6338015,0.0,53,1999.0
1.3852614e-06,42.20527791976929,110592,711.9636363636364,0.26817190647125244,110592,2670,-5.7005323e-05,2.994678,5.576226,0.0,54,1999.0
6.4467133e-07,42.972522020339966,112640,711.7321428571429,0.2891424298286438,112640,2681,-7.9434554e-05,2.9946818,5.7462916,0.0,55,1999.0
1.3888416e-06,43.741605043411255,114688,711.421052631579,0.3312157392501831,114688,2661,-0.00012687943,2.9946659,5.8584604,0.0,56,1999.0
2.489465e-07,44.51141309738159,116736,711.8103448275862,0.3188040852546692,116736,2670,-9.8091274e-05,2.9946523,5.5937624,0.0,57,1999.0
1.6315174e-06,45.27876400947571,118784,711.5593220338983,0.33011478185653687,118784,2671,-8.33218e-05,2.994648,5.2368007,0.0,58,1999.0
2.8190948e-07,46.045937061309814,120832,711.25,0.36543387174606323,120832,2661,-8.5699474e-05,2.9946535,5.819188,0.0,59,1999.0
1.3853407e-06,46.81574606895447,122880,710.4754098360655,0.3663649559020996,122880,2668,-0.00011788175,2.9946418,3.9753785,0.0,60,1999.0
2.8593695e-07,47.58892607688904,124928,710.0806451612904,0.3119487762451172,124928,2672,-8.1399965e-05,2.9946332,5.1909904,0.0,61,1999.0
1.2783845e-06,48.355602979660034,126976,709.7301587301587,0.38488584756851196,126976,2674,-9.238741e-05,2.9946322,4.539462,0.0,62,1999.0
