fps,policy_loss,policy_entropy,total_timesteps,time_elapsed,explained_variance,approxkl,value_loss,clipfrac,serial_timesteps,n_updates,ep_reward_mean,ep_len_mean
2380,-9.8933095e-05,2.9953218,79872,35.13361978530884,0.13998693227767944,1.0484422e-06,17.292995,0.0,79872,39,4594.571428571428,9999.0
2378,-0.00012999319,2.995247,81920,35.994340658187866,0.07062196731567383,1.4984684e-06,14.19736,0.0,81920,40,4591.875,9999.0
2364,-0.00012949733,2.9952688,83968,36.8617057800293,0.08158063888549805,1.6901489e-06,16.733532,0.0,83968,41,4591.875,9999.0
2380,-9.441925e-05,2.995276,86016,37.72816205024719,-0.03386569023132324,1.1260609e-06,17.592262,0.0,86016,42,4591.875,9999.0
2355,-3.0503283e-05,2.9951751,88064,38.58902978897095,0.05301731824874878,1.6385618e-06,18.457418,0.0,88064,43,4591.875,9999.0
2349,-9.552799e-05,2.9951727,90112,39.45883798599243,0.10608017444610596,8.5626635e-07,16.735243,0.0,90112,44,4593.666666666667,9999.0
2369,-1.958101e-05,2.9951665,92160,40.33097863197327,0.023141801357269287,1.3467704e-06,14.830304,0.0,92160,45,4593.666666666667,9999.0
2375,-9.055936e-05,2.995276,94208,41.20116186141968,0.02422785758972168,8.8209697e-07,15.392026,0.0,94208,46,4593.666666666667,9999.0
2368,-9.1564725e-05,2.9953134,96256,42.06377387046814,0.006909489631652832,9.969717e-07,15.502813,0.0,96256,47,4593.666666666667,9999.0
2385,-0.00012230985,2.9952161,98304,42.928751707077026,0.04846906661987305,1.7185685e-06,15.815921,0.0,98304,48,4593.666666666667,9999.0
2381,-4.316694e-05,2.995263,100352,43.78776288032532,0.07162952423095703,1.6961036e-06,11.743136,0.0,100352,49,4590.4,9999.0
2364,-5.8764126e-05,2.995245,102400,44.64845895767212,-0.002398252487182617,1.3598278e-06,13.635188,0.0,102400,50,4590.4,9999.0
2298,-5.2360072e-05,2.9952,104448,45.52091073989868,0.044455766677856445,5.3742434e-07,13.889211,0.0,104448,51,4590.4,9999.0
2370,-5.21278e-05,2.9952922,106496,46.412266969680786,0.056569576263427734,7.369643e-07,14.151761,0.0,106496,52,4590.4,9999.0
2374,-3.992531e-05,2.995133,108544,47.27646279335022,0.031282663345336914,8.736197e-07,14.781126,0.0,108544,53,4590.4,9999.0
2369,-1.9082527e-05,2.995116,110592,48.139487981796265,0.0341717004776001,1.4626436e-06,10.516057,0.0,110592,54,4582.727272727273,9999.0
2378,-5.8491714e-06,2.9951081,112640,49.00418472290039,0.016323089599609375,1.1181106e-06,15.241121,0.0,112640,55,4582.727272727273,9999.0
2351,-7.158118e-05,2.9951453,114688,49.87119793891907,0.02359062433242798,3.7746284e-07,13.372635,0.0,114688,56,4582.727272727273,9999.0
2388,-3.990524e-05,2.995199,116736,50.742403745651245,0.051175713539123535,1.0681113e-06,14.820242,0.0,116736,57,4582.727272727273,9999.0
2374,-5.3495238e-05,2.9950516,118784,51.60035681724548,0.03199952840805054,6.235806e-07,13.800105,0.0,118784,58,4582.727272727273,9999.0
2223,-4.634196e-05,2.9951012,120832,52.463395833969116,0.01069021224975586,8.653813e-07,9.605387,0.0,120832,59,4586.333333333333,9999.0
2379,-6.0260158e-05,2.9950366,122880,53.384700775146484,0.025443196296691895,8.734063e-07,15.598577,0.0,122880,60,4586.333333333333,9999.0
2373,-5.029789e-05,2.9951487,124928,54.25138282775879,0.02017146348953247,3.5098037e-07,14.376831,0.0,124928,61,4586.333333333333,9999.0
2374,-1.7101225e-05,2.9951417,126976,55.114526987075806,0.018820106983184814,7.1277725e-07,12.325322,0.0,126976,62,4586.333333333333,9999.0
2387,-8.334922e-05,2.9949863,129024,55.97756791114807,0.04824858903884888,5.980786e-07,11.193451,0.0,129024,63,4586.333333333333,9999.0
2356,-6.2446066e-05,2.9950578,131072,56.835773944854736,0.009376943111419678,1.1562512e-06,7.966268,0.0,131072,64,4587.461538461538,9999.0
2373,-4.5023986e-05,2.9950023,133120,57.705241680145264,0.041691601276397705,9.0407593e-07,13.372763,0.0,133120,65,4587.461538461538,9999.0
2362,-3.5648933e-05,2.9951766,135168,58.57431483268738,0.03294718265533447,1.2343264e-07,12.870064,0.0,135168,66,4587.461538461538,9999.0
2369,1.4337385e-05,2.995142,137216,59.44163680076599,0.02059006690979004,7.5661734e-07,12.013851,0.0,137216,67,4587.461538461538,9999.0
2373,-6.276612e-05,2.9949656,139264,60.30624485015869,0.03720235824584961,7.8862615e-07,11.62488,0.0,139264,68,4587.461538461538,9999.0
2366,-4.9527946e-05,2.9950707,141312,61.16963481903076,0.04424828290939331,8.0621095e-07,10.241921,0.0,141312,69,4589.5,9999.0
2377,-4.793785e-05,2.9950166,143360,62.035446882247925,0.031767964363098145,5.01062e-07,12.416484,0.0,143360,70,4589.5,9999.0
2375,-3.543594e-05,2.9951751,145408,62.90284061431885,0.035277366638183594,3.8794377e-07,12.814036,0.0,145408,71,4589.5,9999.0
2368,-4.597269e-05,2.9950194,147456,63.76549673080444,0.025477826595306396,2.617381e-07,12.403106,0.0,147456,72,4589.5,9999.0
2372,-6.956793e-06,2.9948535,149504,64.6307168006897,0.0334356427192688,7.937568e-07,11.018019,0.0,149504,73,4589.5,9999.0
2367,-2.7967199e-05,2.994983,151552,65.49423480033875,0.05687439441680908,3.0468448e-07,8.219777,0.0,151552,74,4598.933333333333,9999.0
2362,-4.3138418e-05,2.9949772,153600,66.35978174209595,0.03480827808380127,2.0752103e-07,8.945456,0.0,153600,75,4598.933333333333,9999.0
2372,-3.2530912e-05,2.9951563,155648,67.23252296447754,0.035236477851867676,3.024556e-07,9.366785,0.0,155648,76,4598.933333333333,9999.0
2373,-3.5117635e-05,2.994967,157696,68.09612488746643,0.02146822214126587,2.136223e-07,10.22606,0.0,157696,77,4598.933333333333,9999.0
2348,-5.7893572e-05,2.9948258,159744,68.95926594734192,0.07203179597854614,3.8886748e-07,9.826456,0.0,159744,78,4598.933333333333,9999.0
2387,-5.874267e-05,2.9949574,161792,69.8316159248352,0.04291754961013794,5.2287606e-07,8.955937,0.0,161792,79,4596.0,9999.0
2372,-3.1321426e-05,2.995008,163840,70.68965482711792,0.03271681070327759,2.6922902e-07,9.959205,0.0,163840,80,4596.0,9999.0
2364,-4.3702497e-05,2.99515,165888,71.55893278121948,0.01852703094482422,3.2618158e-07,8.222571,0.0,165888,81,4596.0,9999.0
2381,-2.6923604e-05,2.9949188,167936,72.4254777431488,0.026367902755737305,2.5524196e-07,8.224821,0.0,167936,82,4596.0,9999.0
2373,-5.2887015e-05,2.9948628,169984,73.28599286079407,0.06443506479263306,1.7345504e-07,8.929703,0.0,169984,83,4593.294117647059,9999.0
2363,-6.2886065e-05,2.9949276,172032,74.14912581443787,0.025108635425567627,2.812281e-07,7.7303734,0.0,172032,84,4593.294117647059,9999.0
2342,-3.8557242e-05,2.9950442,174080,75.01604080200195,0.030748724937438965,4.878247e-08,7.1235228,0.0,174080,85,4593.294117647059,9999.0
2385,-6.425829e-05,2.9951272,176128,75.89620399475098,0.017278075218200684,2.2446105e-07,8.6573105,0.0,176128,86,4593.294117647059,9999.0
2358,-5.739166e-05,2.9948676,178176,76.75513172149658,0.02436751127243042,5.6394026e-07,8.431879,0.0,178176,87,4593.294117647059,9999.0
2375,-4.7457404e-05,2.9948158,180224,77.62396168708801,0.061326801776885986,5.222419e-07,9.461272,0.0,180224,88,4596.055555555556,9999.0
