#{"t_start": 1575087821.4612212, "env_id": null}
r,l,t
4617,9999,5.037065
4567,9999,9.616739
4542,9999,14.440711
4570,9999,19.149178
4622,9999,24.004549
4546,9999,29.886624
4597,9999,35.554757
4589,9999,40.817238
4639,9999,45.653572
4658,9999,50.41614
4613,9999,54.98382
4601,9999,59.527279
4639,9999,63.971364
4624,9999,68.239433
4670,9999,72.436416
4616,9999,76.859432
4673,9999,81.386621
4793,9999,85.816669
4740,9999,90.052502
4781,9999,94.272304
4707,9999,98.676454
4791,9999,103.202449
4793,9999,107.991102
4829,9999,112.755506
4788,9999,117.091279
4846,9999,121.661425
4880,9999,125.872624
4865,9999,130.316063
4856,9999,134.574411
4792,9999,138.970019
4813,9999,143.433918
4715,9999,148.094278
4698,9999,153.11849
4718,9999,158.544201
4688,9999,164.130352
4638,9999,169.347796
4654,9999,174.507713
4649,9999,179.618527
4690,9999,185.209118
4725,9999,190.688019
4683,9999,196.313197
4756,9999,201.86003
4747,9999,207.283795
4645,9999,212.745949
4627,9999,217.96212
4690,9999,222.901176
4744,9999,227.867219
4673,9999,232.856938
4707,9999,237.84213
4692,9999,242.821359
4694,9999,247.687755
4670,9999,252.706349
4672,9999,257.673099
4698,9999,262.67485
4747,9999,267.66559
4685,9999,272.623273
4686,9999,277.58452
4610,9999,282.546505
4667,9999,287.518437
4712,9999,292.3362
4695,9999,297.283931
4789,9999,302.266174
4768,9999,307.218204
4774,9999,312.250616
4738,9999,317.571912
4709,9999,323.255617
4674,9999,329.016648
4728,9999,334.011834
4817,9999,339.16551
4756,9999,344.478431
4760,9999,349.696167
4746,9999,354.797187
4736,9999,359.908714
4710,9999,365.050468
4806,9999,370.123837
4874,9999,375.278584
4872,9999,380.360224
4774,9999,385.565474
4741,9999,390.733889
4814,9999,395.876863
4790,9999,400.869914
4677,9999,405.927015
4806,9999,411.087385
4696,9999,416.275128
4831,9999,421.273547
4799,9999,426.428232
4849,9999,431.619344
4841,9999,436.625356
4858,9999,441.61042
4871,9999,446.646272
4793,9999,451.599961
4970,9999,456.709551
4874,9999,461.864395
4901,9999,466.656823
4867,9999,471.646229
4907,9999,476.671491
4917,9999,481.79578
4955,9999,486.97052
4885,9999,492.004656
4925,9999,497.209177
4872,9999,503.064086
4825,9999,508.972294
4810,9999,514.822464
4942,9999,520.481215
4860,9999,526.201613
4910,9999,531.963304
4885,9999,537.735777
4887,9999,543.205402
4936,9999,549.068318
4864,9999,554.506815
4887,9999,559.817356
4915,9999,565.175015
4823,9999,570.716532
4921,9999,576.170118
4840,9999,581.684729
4810,9999,587.16375
4902,9999,593.127006
4974,9999,599.0559
4888,9999,604.268156
4925,9999,609.798548
4960,9999,615.336525
4969,9999,620.488101
4956,9999,625.84087
5034,9999,630.405113
4952,9999,634.749631
4875,9999,639.060694
4898,9999,643.20685
4914,9999,647.238429
4920,9999,651.399392
4917,9999,655.573433
4860,9999,659.737659
4912,9999,664.022408
4957,9999,668.181844
5000,9999,672.353073
4917,9999,676.510839
4985,9999,680.532619
4872,9999,684.726439
4993,9999,689.503889
4950,9999,694.019647
4973,9999,698.355197
4965,9999,704.10621
5022,9999,709.508199
5054,9999,713.857243
5023,9999,718.014928
5037,9999,722.173596
5062,9999,726.640299
5005,9999,730.842979
5008,9999,735.005988
5080,9999,739.178932
4892,9999,743.402546
5000,9999,747.810952
5052,9999,751.984244
5079,9999,756.881453
4933,9999,761.925718
4931,9999,766.638968
4959,9999,771.146949
4997,9999,775.773643
5027,9999,780.445443
4954,9999,784.853801
4977,9999,789.531838
4983,9999,794.06612
4952,9999,798.535546
4865,9999,803.644166
4853,9999,808.817683
4959,9999,813.284559
4973,9999,818.015396
4967,9999,822.570429
4900,9999,827.464772
4955,9999,831.892854
4889,9999,836.318354
4938,9999,840.883115
4941,9999,845.440734
4958,9999,849.903921
4967,9999,854.598403
4949,9999,859.213086
4908,9999,864.444272
4883,9999,869.684202
4856,9999,875.176677
4929,9999,880.104777
5013,9999,885.052272
4973,9999,889.950768
4986,9999,894.886121
5038,9999,899.864088
5050,9999,904.834861
5010,9999,910.215248
5043,9999,915.201858
5017,9999,919.196627
4927,9999,923.336669
4862,9999,927.484788
4868,9999,931.651857
5033,9999,935.810668
4997,9999,940.008443
4927,9999,944.152106
4904,9999,948.363567
4916,9999,952.543738
4906,9999,956.544513
4882,9999,960.721255
4850,9999,964.891756
4917,9999,969.056791
4792,9999,973.233515
4906,9999,977.406096
4911,9999,981.594998
4908,9999,985.733805
4899,9999,989.725433
