#{"t_start": 1575087821.4612212, "env_id": null}
r,l,t
4859,9999,993.869464
4956,9999,998.031712
5021,9999,1002.193569
5048,9999,1006.344277
5043,9999,1010.502022
5119,9999,1014.661164
5090,9999,1018.82655
5208,9999,1022.98188
5209,9999,1026.977311
5151,9999,1031.149325
5275,9999,1035.308245
5257,9999,1039.462229
5274,9999,1043.624225
5226,9999,1047.782847
5236,9999,1051.945684
5199,9999,1056.103933
5311,9999,1060.123169
5298,9999,1064.303163
5376,9999,1068.475228
5404,9999,1072.638853
5276,9999,1076.780296
5347,9999,1080.918435
5253,9999,1085.091977
5297,9999,1089.28458
5406,9999,1093.464808
5290,9999,1097.461508
5321,9999,1101.608161
5263,9999,1105.78839
5300,9999,1110.042615
5323,9999,1114.269911
5404,9999,1118.465928
5377,9999,1122.671963
5328,9999,1126.860622
5397,9999,1130.896099
5309,9999,1135.105824
5369,9999,1139.286931
5365,9999,1143.447681
5388,9999,1147.593128
5366,9999,1151.751976
5273,9999,1155.913435
5306,9999,1160.099097
5257,9999,1164.27768
5322,9999,1168.301764
5324,9999,1172.476273
5224,9999,1176.632998
5308,9999,1180.802441
5334,9999,1184.954538
5292,9999,1189.153964
5322,9999,1193.299045
5261,9999,1197.46138
5279,9999,1201.446745
5277,9999,1205.60454
5243,9999,1210.158691
5232,9999,1214.8629
5245,9999,1219.867089
5230,9999,1224.951529
5295,9999,1229.853413
5185,9999,1234.892788
5235,9999,1240.113491
5276,9999,1246.031756
5261,9999,1250.86532
5322,9999,1255.729259
5290,9999,1260.443074
5281,9999,1264.889425
5304,9999,1270.686289
5315,9999,1276.347568
5485,9999,1281.1502
5390,9999,1285.958992
5317,9999,1290.659459
5347,9999,1295.280992
5228,9999,1300.024996
5320,9999,1304.556981
5288,9999,1309.668077
5328,9999,1314.871899
5386,9999,1320.074567
5351,9999,1325.243294
5382,9999,1330.274512
5355,9999,1335.303504
5325,9999,1340.247665
5477,9999,1345.273632
5422,9999,1350.301658
5461,9999,1355.51484
5468,9999,1360.966436
5442,9999,1365.582835
5335,9999,1369.590221
5489,9999,1373.831315
5484,9999,1378.052606
5464,9999,1382.249978
5386,9999,1386.424899
5494,9999,1390.600615
5426,9999,1394.749178
5395,9999,1398.921473
5437,9999,1403.089375
5485,9999,1407.098359
5482,9999,1411.264422
5450,9999,1415.421072
5404,9999,1419.592835
5384,9999,1423.757371
5388,9999,1427.932809
5410,9999,1432.084623
5444,9999,1436.274704
5551,9999,1440.293477
5547,9999,1444.568047
5514,9999,1448.760843
5416,9999,1452.94792
5339,9999,1457.123132
5447,9999,1461.316414
5371,9999,1465.497708
5529,9999,1469.664891
5348,9999,1473.838138
5530,9999,1477.845411
5427,9999,1482.02288
5436,9999,1486.186186
5437,9999,1490.346905
5543,9999,1494.543227
5445,9999,1498.709593
5489,9999,1502.881945
5499,9999,1507.058443
5498,9999,1511.105004
5484,9999,1515.289471
5402,9999,1519.467884
5521,9999,1523.647468
5495,9999,1527.817878
5491,9999,1532.001651
5442,9999,1536.190261
5507,9999,1540.362556
5493,9999,1544.54452
5577,9999,1548.574328
5536,9999,1552.752997
5493,9999,1556.930627
5522,9999,1561.101642
5562,9999,1565.272109
5502,9999,1569.461667
5497,9999,1573.65306
5517,9999,1577.819294
5496,9999,1581.828052
5496,9999,1586.004835
5488,9999,1590.164189
5427,9999,1594.339597
5470,9999,1598.514095
5410,9999,1602.693524
5427,9999,1606.911956
5423,9999,1611.153134
5515,9999,1615.463138
5403,9999,1619.554883
5480,9999,1623.716074
5453,9999,1627.886249
5492,9999,1632.063813
5456,9999,1636.240169
5435,9999,1640.410662
5477,9999,1644.59008
5479,9999,1648.771493
5476,9999,1652.796001
5455,9999,1656.959737
5452,9999,1661.149397
5439,9999,1665.344684
5461,9999,1669.530958
5463,9999,1673.708902
5502,9999,1677.89077
5494,9999,1682.104534
5558,9999,1686.265109
5609,9999,1690.287322
5541,9999,1694.438245
5553,9999,1698.598494
5548,9999,1702.768811
5527,9999,1706.960406
5555,9999,1711.147315
5604,9999,1715.338593
5571,9999,1719.516357
5585,9999,1723.53397
5544,9999,1727.711151
5614,9999,1731.873423
5669,9999,1736.058156
5566,9999,1740.246401
5549,9999,1744.40322
5546,9999,1748.580966
5626,9999,1752.739723
5560,9999,1756.905406
5546,9999,1760.906522
5518,9999,1765.084091
5503,9999,1769.247121
5533,9999,1773.426532
5614,9999,1777.587384
5666,9999,1781.765421
5616,9999,1785.919737
5650,9999,1790.081753
5557,9999,1794.089233
5642,9999,1798.259923
5554,9999,1802.434793
5607,9999,1806.607369
5556,9999,1810.794252
5539,9999,1814.9693
5568,9999,1819.122608
5615,9999,1823.291204
5578,9999,1827.469388
5605,9999,1831.496273
5554,9999,1835.676328
5595,9999,1839.866876
5653,9999,1844.046614
5648,9999,1848.250581
5594,9999,1852.43122
5666,9999,1856.607603
5549,9999,1860.789669
5615,9999,1864.810304
5534,9999,1868.980447
5654,9999,1873.140299
5605,9999,1877.309582
5674,9999,1881.475032
5627,9999,1885.654434
5622,9999,1889.812203
5604,9999,1893.975933
5607,9999,1898.140547
5735,9999,1902.164595
5609,9999,1906.33811
5693,9999,1910.508156
5581,9999,1914.671251
5671,9999,1918.83831
5672,9999,1923.024062
5689,9999,1927.194314
5622,9999,1931.374551
5676,9999,1935.371962
5690,9999,1939.537902
5673,9999,1943.706944
5707,9999,1947.872442
5621,9999,1952.043491
5691,9999,1956.218246
5681,9999,1960.685622
5682,9999,1964.821238
5748,9999,1968.953228
5639,9999,1972.937045
5736,9999,1977.070335
5619,9999,1981.213703
5655,9999,1985.371823
5657,9999,1989.532615
5652,9999,1993.681687
5729,9999,1997.845512
5605,9999,2002.018055
5671,9999,2006.053843
5614,9999,2010.216245
5609,9999,2014.366576
5624,9999,2018.562008
5654,9999,2022.717755
5543,9999,2026.88358
5552,9999,2031.038572
5520,9999,2035.217417
5662,9999,2039.383781
5670,9999,2043.40627
5630,9999,2047.573329
5640,9999,2051.739747
5631,9999,2055.895813
5642,9999,2060.054795
5703,9999,2064.222058
5742,9999,2068.37914
5722,9999,2072.548586
5660,9999,2076.570673
5802,9999,2080.740886
5759,9999,2084.896445
5753,9999,2089.061104
5742,9999,2093.221437
5697,9999,2097.384645
5744,9999,2101.558471
5742,9999,2105.718615
5702,9999,2109.950954
5734,9999,2113.96803
5735,9999,2118.154459
5762,9999,2122.317192
5785,9999,2126.486679
5749,9999,2130.64831
5674,9999,2134.824644
5722,9999,2138.994103
5709,9999,2143.161182
5748,9999,2147.208307
5731,9999,2151.398928
5731,9999,2155.571663
5724,9999,2159.742968
5706,9999,2164.013348
5699,9999,2168.363522
5717,9999,2172.513717
5774,9999,2176.648683
5725,9999,2180.778047
5722,9999,2184.772542
5732,9999,2188.924129
5774,9999,2193.079782
5710,9999,2197.258874
5769,9999,2201.420511
5706,9999,2205.664429
5694,9999,2209.821573
5708,9999,2214.130289
5743,9999,2218.127263
5827,9999,2222.270549
5718,9999,2226.422445
5747,9999,2230.611101
5678,9999,2234.770139
5711,9999,2238.920739
5713,9999,2243.090027
5662,9999,2247.246592
5624,9999,2251.404942
5684,9999,2255.409404
5745,9999,2259.568622
5696,9999,2263.715452
5716,9999,2267.875767
5709,9999,2272.018006
5719,9999,2276.176147
5674,9999,2280.334406
5646,9999,2284.482875
5688,9999,2288.472602
5741,9999,2292.63857
5675,9999,2296.800226
5739,9999,2300.948592
5715,9999,2305.214392
5748,9999,2309.383832
5679,9999,2313.543595
5729,9999,2317.729392
5802,9999,2321.911252
5779,9999,2325.934613
5676,9999,2330.095334
5713,9999,2334.261689
5664,9999,2338.428436
5648,9999,2342.587073
5631,9999,2346.722185
5701,9999,2350.868875
5706,9999,2355.016385
5714,9999,2359.015707
5683,9999,2363.182007
5682,9999,2367.340681
5681,9999,2371.499487
5706,9999,2375.667082
5671,9999,2379.837849
5713,9999,2384.008244
5650,9999,2388.164759
5745,9999,2392.31132
5754,9999,2396.308155
5803,9999,2400.464792
5728,9999,2404.619255
5702,9999,2408.792844
5748,9999,2413.254162
5688,9999,2417.402838
5680,9999,2421.544511
5831,9999,2425.687347
5712,9999,2429.689792
5756,9999,2433.858369
5658,9999,2438.033279
5718,9999,2442.223432
5707,9999,2446.387275
5708,9999,2450.594804
5761,9999,2454.751124
5742,9999,2458.918869
5752,9999,2463.082804
5719,9999,2467.095206
5695,9999,2471.250374
5700,9999,2475.383029
5799,9999,2479.515093
5681,9999,2483.660673
5700,9999,2487.79941
5743,9999,2491.957676
5684,9999,2496.115025
5703,9999,2500.138864
5701,9999,2504.291577
5643,9999,2508.618352
5660,9999,2512.777178
5717,9999,2516.923521
5723,9999,2521.090388
5698,9999,2525.245782
5694,9999,2529.405205
5659,9999,2533.571494
5687,9999,2537.589862
5684,9999,2541.769604
5677,9999,2545.933471
5707,9999,2550.106329
5766,9999,2554.268066
5646,9999,2558.43779
5669,9999,2562.625313
5679,9999,2566.790164
5730,9999,2570.805597
5693,9999,2574.963038
5706,9999,2579.197219
5626,9999,2583.358038
5727,9999,2587.540691
5702,9999,2592.000359
5646,9999,2596.144104
5630,9999,2600.267451
5691,9999,2604.413456
5689,9999,2608.396233
5632,9999,2612.56623
5741,9999,2616.752328
5758,9999,2620.939803
5604,9999,2625.118573
5720,9999,2629.287575
5663,9999,2633.45993
5780,9999,2637.620336
5688,9999,2641.638465
5734,9999,2645.799932
5735,9999,2649.964163
5700,9999,2654.130721
5715,9999,2658.296921
5705,9999,2662.477458
5676,9999,2666.63235
5759,9999,2670.812607
5688,9999,2674.979672
5693,9999,2679.004885
5749,9999,2683.189334
5693,9999,2687.341842
5703,9999,2691.500668
5724,9999,2695.674637
5763,9999,2699.842067
5740,9999,2704.001917
5780,9999,2708.172027
5765,9999,2712.208705
5766,9999,2716.374607
5778,9999,2720.535726
5749,9999,2724.68785
5707,9999,2728.83698
5780,9999,2732.998619
5874,9999,2737.143242
5768,9999,2741.324249
5765,9999,2745.487221
5663,9999,2749.543438
5710,9999,2753.706684
5751,9999,2757.87568
5761,9999,2762.354653
5714,9999,2766.502796
5776,9999,2770.658217
5767,9999,2774.802434
5792,9999,2778.968128
5746,9999,2782.960449
5736,9999,2787.095934
5765,9999,2791.263556
5810,9999,2795.432391
5776,9999,2799.60596
5769,9999,2803.818574
5733,9999,2807.999474
5710,9999,2812.166881
5826,9999,2816.338753
5731,9999,2820.354221
5664,9999,2824.535895
5710,9999,2828.724126
5789,9999,2832.906855
5724,9999,2837.075612
5717,9999,2841.255177
5771,9999,2845.416401
5720,9999,2849.580329
5723,9999,2853.604003
5707,9999,2857.771944
5848,9999,2861.976805
5760,9999,2866.156715
5788,9999,2870.310344
5788,9999,2874.493955
5749,9999,2878.663022
5768,9999,2882.845505
5803,9999,2887.00506
5817,9999,2891.04173
5732,9999,2895.494694
5702,9999,2899.643722
5753,9999,2903.788151
5762,9999,2907.919255
5755,9999,2912.079301
5716,9999,2916.239544
5727,9999,2920.406446
5719,9999,2924.432747
5731,9999,2928.605819
5743,9999,2932.764122
5745,9999,2936.934379
5713,9999,2941.117419
5733,9999,2945.275675
5766,9999,2949.441458
5736,9999,2953.642893
5775,9999,2957.803919
5808,9999,2961.817637
5815,9999,2965.980832
5781,9999,2970.137751
5683,9999,2974.298121
5795,9999,2978.466409
5765,9999,2982.653669
5828,9999,2986.830815
5782,9999,2990.996962
5814,9999,2995.005552
5811,9999,2999.165626
5739,9999,3003.324812
5802,9999,3007.486685
5805,9999,3011.666886
5739,9999,3015.826227
5759,9999,3020.277472
5792,9999,3024.430401
5762,9999,3028.581496
5761,9999,3032.567068
5817,9999,3036.696838
5752,9999,3040.850184
5756,9999,3044.985079
5760,9999,3049.133559
5769,9999,3053.291542
5728,9999,3057.453375
5767,9999,3061.625162
5813,9999,3065.641865
5732,9999,3069.833368
5712,9999,3073.998311
5774,9999,3078.175485
5803,9999,3082.337846
5803,9999,3086.506768
5767,9999,3090.675502
5745,9999,3094.836619
5764,9999,3099.021023
5861,9999,3103.042448
5763,9999,3107.26181
5804,9999,3111.429993
5735,9999,3115.609833
5721,9999,3119.772809
5760,9999,3123.946189
5721,9999,3128.10418
5708,9999,3132.309361
5717,9999,3136.627052
5706,9999,3140.789198
5771,9999,3144.928384
5799,9999,3149.065784
5825,9999,3153.220183
5761,9999,3157.392809
5749,9999,3161.569689
5750,9999,3165.736181
5760,9999,3169.890602
5756,9999,3173.895309
5803,9999,3178.056994
5741,9999,3182.227052
5796,9999,3186.401661
5757,9999,3190.577856
5785,9999,3194.737599
5791,9999,3198.898195
5738,9999,3203.061343
5776,9999,3207.066929
5686,9999,3211.219557
5781,9999,3215.37388
5754,9999,3219.551481
5786,9999,3223.716759
5793,9999,3227.88496
5785,9999,3232.044632
5741,9999,3236.47429
5788,9999,3240.662026
5692,9999,3244.659536
5693,9999,3248.824632
5772,9999,3252.99379
5799,9999,3257.151489
5726,9999,3261.320971
5748,9999,3265.473025
5767,9999,3269.640225
5761,9999,3273.799046
5772,9999,3277.824786
5822,9999,3282.011055
5743,9999,3286.194309
5758,9999,3290.369816
5763,9999,3294.529344
5739,9999,3298.709037
5734,9999,3302.907655
5768,9999,3307.078993
5720,9999,3311.258164
5774,9999,3315.260745
5764,9999,3319.43291
5747,9999,3323.601622
5743,9999,3327.757372
5728,9999,3331.931931
5789,9999,3336.103458
5728,9999,3340.279811
5792,9999,3344.451097
5732,9999,3348.484387
5738,9999,3352.645321
5759,9999,3356.808132
5751,9999,3360.98405
5762,9999,3365.152804
5767,9999,3369.329199
5754,9999,3373.491271
5742,9999,3377.656407
5695,9999,3381.825829
5794,9999,3385.843698
5791,9999,3390.282476
5703,9999,3394.432419
5728,9999,3398.601648
5798,9999,3402.777497
5788,9999,3406.948388
5709,9999,3411.114772
5804,9999,3415.290406
5772,9999,3419.313955
5760,9999,3423.470778
5787,9999,3427.631345
5765,9999,3431.828289
5699,9999,3436.018748
5724,9999,3440.205556
5761,9999,3444.376235
5808,9999,3448.55633
5746,9999,3452.736017
5687,9999,3456.752374
5719,9999,3460.936734
5709,9999,3465.114585
5698,9999,3469.301597
5641,9999,3473.466803
5739,9999,3477.634839
5692,9999,3481.807988
5781,9999,3485.981826
5715,9999,3490.031467
5812,9999,3494.209135
5732,9999,3498.379832
5730,9999,3502.55346
5707,9999,3506.737338
5750,9999,3510.902306
5650,9999,3515.062266
5732,9999,3519.254182
5713,9999,3523.440154
5738,9999,3527.468924
5731,9999,3531.647556
5718,9999,3535.824907
5751,9999,3540.000377
5752,9999,3544.171233
5725,9999,3548.347733
5783,9999,3552.530856
5703,9999,3556.693963
5710,9999,3560.720171
5790,9999,3564.911637
5814,9999,3569.092157
5729,9999,3573.270705
5746,9999,3577.438661
5744,9999,3581.627615
5737,9999,3585.797979
5671,9999,3589.983122
5722,9999,3594.16925
5746,9999,3598.185967
5760,9999,3602.368467
5687,9999,3606.545303
5691,9999,3610.724967
5701,9999,3614.914953
5743,9999,3619.092691
5767,9999,3623.271253
5778,9999,3627.447875
5799,9999,3631.464103
5709,9999,3635.652215
5702,9999,3639.848737
5712,9999,3644.017973
5716,9999,3648.229414
5759,9999,3652.419854
5707,9999,3656.592792
5696,9999,3661.071364
5728,9999,3665.22782
5774,9999,3669.259879
5735,9999,3673.42279
5729,9999,3677.590068
5686,9999,3681.752366
5784,9999,3685.921148
5662,9999,3690.094377
5726,9999,3694.263644
5752,9999,3698.428341
5790,9999,3702.465415
5678,9999,3706.658514
5732,9999,3710.846361
5678,9999,3715.010253
5684,9999,3719.175375
5680,9999,3723.348546
5703,9999,3727.513885
5670,9999,3731.694264
5693,9999,3735.875595
5639,9999,3739.902262
5691,9999,3744.079006
5654,9999,3748.243019
5693,9999,3752.412785
5684,9999,3756.572568
5726,9999,3760.752487
5691,9999,3764.921899
5642,9999,3769.088988
5664,9999,3773.100785
5715,9999,3777.257057
5708,9999,3781.442853
5770,9999,3785.606163
5703,9999,3789.788088
5705,9999,3793.953306
5730,9999,3798.102
5760,9999,3802.276832
5714,9999,3806.43431
5677,9999,3810.461229
5704,9999,3814.656691
5752,9999,3818.843713
5735,9999,3823.017642
5742,9999,3827.188584
5739,9999,3831.35916
5712,9999,3835.514237
5682,9999,3839.676171
5742,9999,3843.692833
5641,9999,3847.851599
5730,9999,3852.033934
5752,9999,3856.201774
5677,9999,3860.388013
5747,9999,3864.606362
5742,9999,3868.775377
5730,9999,3872.990842
5783,9999,3877.176429
5725,9999,3881.189119
5728,9999,3885.363633
5752,9999,3889.546268
5821,9999,3893.713595
5724,9999,3897.878078
5811,9999,3902.06365
5739,9999,3906.513607
5707,9999,3910.683529
5730,9999,3914.687771
5759,9999,3918.836653
5701,9999,3923.013695
5775,9999,3927.193844
5752,9999,3931.358568
5732,9999,3935.523553
5765,9999,3939.693784
5763,9999,3943.875351
5750,9999,3948.078721
5758,9999,3952.127967
5755,9999,3956.318419
5705,9999,3960.50597
5738,9999,3964.68081
5725,9999,3968.878518
5768,9999,3973.062193
5748,9999,3977.232997
5689,9999,3981.434671
5732,9999,3985.463223
5778,9999,3989.636297
5739,9999,3993.795876
5730,9999,3998.019894
5693,9999,4002.56151
5701,9999,4007.345929
5743,9999,4012.621191
5780,9999,4017.527707
5703,9999,4022.166225
5758,9999,4026.618076
5728,9999,4031.249606
5741,9999,4035.78278
5730,9999,4040.378988
5797,9999,4044.981865
5710,9999,4049.524121
5704,9999,4054.104008
5755,9999,4058.64635
5788,9999,4063.049481
5771,9999,4067.568047
5822,9999,4072.121597
5759,9999,4076.664077
5743,9999,4081.274937
5768,9999,4085.819187
5754,9999,4090.389598
5741,9999,4094.933552
5742,9999,4099.478508
5783,9999,4103.859028
5742,9999,4108.460748
5698,9999,4113.009729
5722,9999,4117.565987
5726,9999,4122.18836
5713,9999,4126.76235
5789,9999,4131.286456
5730,9999,4135.829118
5769,9999,4140.21062
5669,9999,4144.713892
5718,9999,4149.287056
5769,9999,4153.851603
5714,9999,4158.412864
5768,9999,4162.947069
5810,9999,4167.473214
5816,9999,4172.005065
5757,9999,4176.543871
5775,9999,4180.956167
5711,9999,4185.47384
5767,9999,4190.016662
5724,9999,4194.502664
5770,9999,4199.17936
5764,9999,4203.692484
5765,9999,4208.205687
5730,9999,4212.737282
5666,9999,4217.150016
5737,9999,4221.679852
5684,9999,4226.249499
5771,9999,4230.793416
5657,9999,4235.309315
5685,9999,4239.858759
5707,9999,4244.402415
5645,9999,4249.231438
5723,9999,4253.787128
5718,9999,4258.202712
5710,9999,4263.198043
5674,9999,4268.319804
5739,9999,4274.256821
5701,9999,4279.263049
5760,9999,4284.155124
5723,9999,4289.539697
5733,9999,4296.040511
5744,9999,4300.783929
5772,9999,4305.950212
5719,9999,4310.471189
5750,9999,4314.809123
5774,9999,4319.478163
5737,9999,4324.314651
5749,9999,4328.949937
5803,9999,4333.438216
5763,9999,4338.796264
5803,9999,4343.623435
5786,9999,4348.316572
5696,9999,4354.397095
5713,9999,4359.879745
5707,9999,4364.844448
